# 人物与家庭类 emoji。组成完全编码在码位序列里，由脚本机械推导，无需模型判断。
# 这是重写前重名损失最集中的地方：25 个不同的家庭组合共用「家庭」一个名字。
1F476	婴儿	婴儿：一张婴儿的脸，头顶一撮头发
1F9D2	儿童	儿童：一个孩子的脸，看不出性别
1F466	男孩	男孩：一个男孩的脸
1F467	女孩	女孩：一个女孩的脸
1F9D1	成人	成人：一个成人的头像
1F471	金发的人	金发的人：一个金黄头发的人，看不出性别
1F468	男人	男人：一个男人的头像
1F9D4	大胡子的人	大胡子的人：脸上留着络腮胡，看不出性别
1F9D4 200D 2642 FE0F	大胡子男人	大胡子男人：留着络腮胡的男人
1F9D4 200D 2640 FE0F	大胡子女人	大胡子女人：留着络腮胡的女人
1F468 200D 1F9B0	红发男人	红发男人：一个红发的男人
1F468 200D 1F9B1	卷发男人	卷发男人：一个卷发的男人
1F468 200D 1F9B3	白发男人	白发男人：一个白发的男人
1F468 200D 1F9B2	光头男人	光头男人：一个光头的男人
1F469	女人	女人：一个女人的头像
1F469 200D 1F9B0	红发女人	红发女人：一个红发的女人
1F9D1 200D 1F9B0	红发成人	红发成人：一个红发的成人
1F469 200D 1F9B1	卷发女人	卷发女人：一个卷发的女人
1F9D1 200D 1F9B1	卷发成人	卷发成人：一个卷发的成人
1F469 200D 1F9B3	白发女人	白发女人：一个白发的女人
1F9D1 200D 1F9B3	白发成人	白发成人：一个白发的成人
1F469 200D 1F9B2	光头女人	光头女人：一个光头的女人
1F9D1 200D 1F9B2	光头成人	光头成人：一个光头的成人
1F471 200D 2640 FE0F	金发女人	金发女人：一个金黄头发的女人
1F471 200D 2642 FE0F	金发男人	金发男人：一个金黄头发的男人
1F9D3	老人	老人：一位白发老人，看不出性别
1F474	老爷爷	老爷爷：一位白发老年男性
1F475	老奶奶	老奶奶：一位白发老年女性
1F9D1 200D 1F91D 200D 1F9D1	手拉手两人	手拉手两人：两个人并排手牵着手，看不出性别
1F46D	手拉手两女	手拉手两女：两个女人并排手牵着手。常表示闺蜜
1F46B	手拉手一男一女	手拉手一男一女：一男一女并排手牵着手。常表示情侣、朋友
1F46C	手拉手两男	手拉手两男：两个男人并排手牵着手。常表示兄弟、朋友
1F48F	亲吻的情侣	亲吻的情侣：两个人中间一颗心，正在接吻
