# 人工重写的 emoji 读法（第二轮）：手势姿态、奇幻角色、动物、天气植物、食物饮品。
# 标准：简洁名走「明眼人会怎么称呼它」，详细档走「视觉信息 + 常见用法」。
#   1. 有公认中文叫法就用它，别改；2. 没有就用最能辨认的视觉特征造短名；
#   3. 不许重名；4. 简洁名不写含义；5. 含义一律写「常表示」，因为它依赖上下文。
# 由 Opus 5 分批生成，码位与字符对应、简洁名长度、重名均已逐条校验。
2600 FE0F	太阳	太阳：金黄圆日向四周射出光芒。常表示晴天、白天
2601 FE0F	云朵	云朵：一朵灰白色的云，没有太阳和雨
2602 FE0F	撑开的伞	撑开的伞：撑开的黑紫色伞面，没有雨
2603 FE0F	雪中雪人	雪中雪人：白色雪人，周围飘着雪花
2604 FE0F	彗星	彗星：亮头拖着长尾，斜划过天空
2614	雨伞	雨伞：撑开的伞，伞下落着雨点。常表示下雨、避雨
2615	咖啡	咖啡：白瓷杯配托碟，深褐热饮冒热气。常表示喝咖啡、提神
2618 FE0F	三叶草	三叶草：三片心形绿叶连在一根茎上
26A1	闪电	闪电：黄色锯齿闪电符号。常表示快、厉害、突发
26C4	雪人	雪人：白色雪球堆成的雪人，周围没有飘雪
26C5	晴间多云	晴间多云：太阳露出左上半边，右下压着一朵白云
26C8 FE0F	雷阵雨	雷阵雨：乌云下同时有闪电和雨丝
26F1 FE0F	沙滩伞	沙滩伞：插在地上的条纹遮阳伞
2744 FE0F	雪花	雪花：白色六角雪花，形状对称。常表示下雪、寒冷
2B50	星星	星星：一颗黄色五角星。常表示收藏、评分
1F300	台风	台风：蓝色螺旋漩涡符号。常表示台风、大风
1F302	收起的伞	收起的伞：合拢的紫色雨伞，带弯把手
1F308	彩虹	彩虹：七色弧形横跨天空。常表示彩虹屁、夸人
1F30A	海浪	海浪：蓝色卷起的大浪，浪尖泛白
1F30C	银河	银河：深蓝紫夜空里横着一条星带
1F311	新月	新月：整个圆面全黑，看不到亮部
1F312	蛾眉月	蛾眉月：只有右边一道细弯是亮的
1F313	上弦月	上弦月：右半边亮，左半边黑
1F314	盈凸月	盈凸月：右边大半亮，左边剩一弯黑
1F315	满月	满月：整个圆面全亮，灰白色
1F316	亏凸月	亏凸月：左边大半亮，右边剩一弯黑
1F317	下弦月	下弦月：左半边亮，右半边黑
1F318	残月	残月：只有左边一道细弯是亮的
1F319	月牙	月牙：黄色细弯月牙，开口朝右。常表示夜晚、晚安
1F31F	闪亮星星	闪亮星星：黄色五角星周围有小亮点。常表示闪耀、出彩
1F320	流星	流星：黄色星星拖着一条尾迹划过。常表示许愿
1F321 FE0F	温度计	温度计：玻璃管里红色液柱，旁边有刻度。常表示发烧、高温
1F324 FE0F	少云	少云：大太阳，右下角一小片白云
1F325 FE0F	多云	多云：一大片白云挡住太阳，只露一角
1F326 FE0F	太阳雨	太阳雨：云后露出太阳，云下落着雨丝
1F327 FE0F	下雨	下雨：灰云下落着几道雨丝
1F328 FE0F	下雪	下雪：灰云下飘着几片雪花
1F329 FE0F	打雷	打雷：灰云下一道黄色闪电，没有雨
1F32A FE0F	龙卷风	龙卷风：灰色漏斗状旋风从云端垂下
1F32B FE0F	大雾	大雾：三道灰白色雾带横着飘
1F32C FE0F	吹风的脸	吹风的脸：蓝白色的脸鼓腮吹气，吹出一股风
1F32D	热狗	热狗：长面包夹香肠，挤着黄芥末。常表示男性生殖器，粗俗
1F32E	塔可	塔可：对折的玉米脆饼，夹肉末、生菜和芝士
1F32F	墨西哥卷饼	墨西哥卷饼：薄饼卷成筒，一端用纸包着
1F330	栗子	栗子：褐色板栗，底部一块浅色，顶端带尖
1F331	幼苗	幼苗：两片嫩绿子叶从土里长出。常表示新生、成长
1F332	松树	松树：深绿色尖顶塔形树，褐色树干
1F333	大树	大树：绿色圆形树冠，褐色树干
1F334	棕榈树	棕榈树：细弯树干顶着几片大棕榈叶
1F335	仙人掌	仙人掌：绿色柱状带刺，两侧伸出短枝。常表示扎人、说话带刺
1F336 FE0F	红辣椒	红辣椒：一根弯曲的红尖椒，带绿蒂。常表示辣、火辣
1F337	郁金香	郁金香：粉色杯状花朵，配绿色长茎
1F338	樱花	樱花：五片粉色花瓣，花心浅黄。常表示春天、浪漫
1F339	玫瑰	玫瑰：红色花朵配绿茎绿叶。常表示表白、爱情
1F33A	芙蓉	芙蓉：粉红色大花瓣，中心伸出长花蕊
1F33B	向日葵	向日葵：黄色花瓣一圈，中心褐色花盘。常表示阳光、积极
1F33C	小黄花	小黄花：黄色花瓣一圈，花心深黄
1F33D	玉米	玉米：黄色玉米棒，绿叶向后剥开
1F33E	稻穗	稻穗：金黄稻秆低垂，结满谷粒
1F33F	绿枝叶	绿枝叶：两三片细长绿叶连在枝上
1F340	四叶草	四叶草：四片心形绿叶围成一圈。常表示好运
1F341	枫叶	枫叶：橙红色五角枫叶，叶脉清晰。常表示秋天、加拿大
1F342	落叶	落叶：两片枯黄的叶子飘落。常表示秋天、凋零
1F343	风中绿叶	风中绿叶：两片绿叶随风斜飞
1F344	蘑菇	蘑菇：红色伞盖带白点，白色短柄
1F344 200D 1F7EB	褐色蘑菇	褐色蘑菇：褐色伞盖配白色菌柄的蘑菇
1F345	西红柿	西红柿：一整只红色圆番茄，顶部绿蒂
1F346	茄子	茄子：一根深紫色长茄，顶部绿蒂。常表示男性生殖器，粗俗
1F347	葡萄	葡萄：一串紫色葡萄，顶上带绿叶
1F348	甜瓜	甜瓜：浅绿色圆瓜，表面有网纹，带绿叶
1F349	西瓜	西瓜：一块三角西瓜，红瓤黑籽绿皮。常表示围观八卦、看热闹
1F34A	橘子	橘子：一整只橙色柑橘，顶上带绿叶
1F34B	柠檬	柠檬：一整只黄色柠檬，带绿叶。常表示酸、羡慕嫉妒
1F34B 200D 1F7E9	青柠	青柠：一整只绿色青柠，带绿叶
1F34C	香蕉	香蕉：一根黄色弯香蕉，两端发褐。常表示男性生殖器，粗俗
1F34D	菠萝	菠萝：黄褐色菱格外皮，顶部一丛绿叶冠
1F34E	红苹果	红苹果：一整只红苹果，顶上带绿叶
1F34F	青苹果	青苹果：一整只绿苹果，顶上带绿叶
1F350	梨	梨：黄绿色的梨，上窄下宽，带绿叶
1F351	桃子	桃子：粉红带绒毛的桃，中间一道沟。常表示屁股，粗俗
1F352	樱桃	樱桃：两颗红樱桃连在一根柄上，带绿叶
1F353	草莓	草莓：红色草莓，表面布满小籽，顶部绿蒂
1F354	汉堡	汉堡：圆面包夹着牛肉饼、生菜、番茄和芝士
1F355	披萨	披萨：一角披萨，铺着芝士和香肠片
1F356	排骨	排骨：一大块褐色烤肉，一端露出白骨
1F357	鸡腿	鸡腿：烤成金黄的鸡腿，一端露出骨头
1F358	米饼	米饼：圆形烤米饼，中间缠一条黑海苔
1F359	饭团	饭团：三角形白米饭团，底边裹一条黑海苔
1F35A	米饭	米饭：白瓷碗盛满白米饭。常表示吃饭
1F35B	咖喱饭	咖喱饭：盘里一半白米饭，一半黄褐咖喱酱
1F35C	拉面	拉面：大碗热汤面，架着一双筷子，冒热气。常表示吃面、宵夜
1F35D	意大利面	意大利面：白盘里卷起的面条淋红番茄酱，插一把叉子
1F35E	面包	面包：一整条白面包，外皮金褐，一端切开
1F35F	薯条	薯条：红色纸盒里插着一把黄色炸薯条
1F360	烤红薯	烤红薯：紫皮红薯剖开，露出橙黄薯肉
1F361	团子	团子：一根竹签串三颗丸子，粉、绿、白各一
1F362	关东煮	关东煮：一根竹签串起鱼糕、丸子和萝卜
1F363	寿司	寿司：两块握寿司，白饭上盖橙色生鱼片
1F364	炸虾	炸虾：两只裹面衣炸熟的虾，虾尾露在外面
1F365	鱼板	鱼板：白色圆片鱼糕，中心一圈粉红漩涡
1F366	甜筒	甜筒：蛋卷筒上一坨白色螺旋冰淇淋
1F367	刨冰	刨冰：碗里堆着白色碎冰，淋红色糖浆
1F368	冰淇淋	冰淇淋：小碗里几球冰淇淋，插着一把勺
1F369	甜甜圈	甜甜圈：环形面包裹粉色糖霜，撒彩色糖粒
1F36A	饼干	饼干：圆形褐色饼干，嵌满巧克力豆
1F36B	巧克力	巧克力：褐色巧克力块，锡纸包装撕开一半
1F36C	糖果	糖果：糖纸包着的糖，两头拧起
1F36D	棒棒糖	棒棒糖：彩色螺旋的圆糖，下面一根白棍
1F36E	布丁	布丁：黄色布丁淋着褐色焦糖，盛在碟子上
1F36F	蜂蜜	蜂蜜：褐色陶罐里的金黄蜂蜜，正往下流
1F370	草莓蛋糕	草莓蛋糕：一块三角奶油蛋糕，顶上一颗草莓
1F371	便当	便当：黑色分格饭盒，装米饭、菜和小配菜。常表示吃饭、午餐
1F372	汤锅	汤锅：深锅里盛着热汤和菜，冒着热气
1F373	煎蛋	煎蛋：平底锅里一个荷包蛋，黄心白边
1F374	刀叉	刀叉：一把叉子和一把餐刀并排，没有盘子。常表示吃饭、就餐
1F375	绿茶	绿茶：无把手小茶杯盛绿色茶汤。常表示喝茶，也讽刺装单纯的人
1F376	清酒	清酒：白色小酒瓶配一只小酒杯，瓶身有汉字。常表示喝酒
1F377	红酒	红酒：细长高脚杯装红色葡萄酒。常表示喝酒、小酌
1F378	鸡尾酒	鸡尾酒：三角形马提尼杯装浅色酒，插一颗橄榄。常表示酒吧、夜生活
1F379	热带饮料	热带饮料：高杯装橙色果饮，插吸管、小伞和水果片。常表示度假
1F37A	啤酒	啤酒：带把手的大玻璃杯装金黄啤酒，顶着白泡沫。常表示喝一杯、庆祝
1F37B	碰杯	碰杯：两只啤酒杯撞在一起，泡沫溅出。常表示干杯、聚会
1F37C	奶瓶	奶瓶：装白色奶的奶瓶，带奶嘴和刻度。常表示婴儿、喂奶
1F37D FE0F	餐盘刀叉	餐盘刀叉：一只空盘子，左右各摆一把叉子和餐刀。常表示吃饭、餐厅
1F37E	开香槟	开香槟：绿色酒瓶软木塞崩飞，气泡涌出。常表示庆祝
1F37F	爆米花	爆米花：红白条纹桶里满出的白色爆米花。常表示看热闹、准备吃瓜
1F382	生日蛋糕	生日蛋糕：圆蛋糕上插着点燃的蜡烛。常表示过生日、送祝福
1F385	圣诞老人	圣诞老人：白胡子老人，戴红色尖帽、穿红衣。常表示圣诞节、送礼物
1F3F5 FE0F	圆形花饰	圆形花饰：橙黄色花瓣围成的圆形花章
1F3FA	双耳陶罐	双耳陶罐：褐色古陶罐，细颈，两侧各一只耳把
1F400	大老鼠	大老鼠：灰色大老鼠全身，侧面，尾巴长，嘴尖
1F401	小老鼠	小老鼠：白色小老鼠全身，侧面，尾巴细长
1F402	公牛	公牛：深灰色牛全身，侧面站立，一对尖角
1F403	水牛	水牛：深灰色水牛全身，侧面站立，一对弯角
1F404	奶牛	奶牛：黑白花奶牛全身，侧面站立
1F405	老虎	老虎：橙黑条纹老虎全身，侧面行走
1F406	豹子	豹子：黄底黑斑豹全身，侧面行走
